Location,TST,Tag,Age,Sex,Nasal,Jaw,FAMACHA,Condition,Dag,Status,Weight,Lactation,Visit,Date,FEC,month,plant,farm,time
MAZINGA,Plant,1,3.5,Female,0,0,2,1.5,0,Borderline,35.4,NotLactating,1,30/01/2020,1700,January,mtawa,P1,0
MAZINGA,Plant,2,2,Female,1,0,3,2,0,Borderline,21.8,NotLactating,1,30/01/2020,150,January,mtawa,P1,0
MAZINGA,Plant,3,1,Female,1,0,2,3,0,Healthy,23.1,NotLactating,1,30/01/2020,3350,January,Noplant,P1,0
MAZINGA,Plant,3,1,Female,0,0,2,3,0,Healthy,23.1,NotLactating,2,13/02/2020,1050,February,Noplant,P1,14
MAZINGA,Plant,6,4.5,Female,1,0,2,3,0,Healthy,25.9,Pregnant,1,30/01/2020,300,January,Noplant,P2,0
MAZINGA,Plant,6,4.5,Female,1,0,2,2.5,0,Healthy,27.2,Pregnant,2,13/02/2020,700,February,Noplant,P2,14
MAZINGA,Plant,6,4.5,Female,0,0,1,2,0,Healthy,28.6,Pregnant,3,27/02/2020,950,February,Noplant,P2,28
MAZINGA,Plant,6,4.5,Female,1,0,2,2.5,0,Healthy,27.2,NotLactating,4,12/03/2020,700,March,Noplant,P2,42
MAZINGA,Plant,6,4.5,Female,0,0,1,2,0,Healthy,25.9,NotLactating,5,26/03/2020,800,March,Noplant,P2,56
MAZINGA,Plant,6,4.5,Female,0,0,2,2.5,0,Healthy,24.5,NotLactating,6,09/04/2020,950,April,Noplant,P2,70
MAZINGA,Plant,6,4.5,Female,0,0,2,2.5,0,Healthy,25.9,NotLactating,7,23/04/2020,450,April,Noplant,P2,84
MAZINGA,Plant,6,4.5,Female,1,0,2,2.5,0,Healthy,29.9,NotLactating,8,07/05/2020,0,May,Noplant,P2,98
MAZINGA,Plant,6,4.5,Female,1,0,2,2.5,0,Healthy,35.4,NotLactating,9,21/05/2020,100,May,Noplant,P2,112
MAZINGA,Plant,6,4.5,Female,1,0,2,2.5,0,Healthy,31.3,NotLactating,10,04/06/2020,0,June,Noplant,P2,126
MAZINGA,Plant,6,4.5,Female,0,0,2,2.5,0,Healthy,27.2,NotLactating,11,18/06/2020,0,June,Noplant,P2,140
MAZINGA,Plant,6,4.5,Female,0,0,2,2.5,0,Healthy,29.9,NotLactating,12,02/07/2020,100,July,Noplant,P2,154
MAZINGA,Plant,6,4.5,Female,0,0,2,2.5,0,Healthy,31.3,NotLactating,13,16/07/2020,150,July,Noplant,P2,168
MAZINGA,Plant,6,4.5,Female,0,0,2,2,0,Healthy,42.2,NotLactating,14,30/07/2020,50,July,Noplant,P2,182
MAZINGA,Plant,6,4.5,Female,0,0,2,2,0,Healthy,28.6,NotLactating,15,13/08/2020,0,August,Noplant,P2,196
MAZINGA,Plant,6,4.5,Female,1,0,2,2,0,Healthy,28.6,NotLactating,16,27/08/2020,150,August,Noplant,P2,210
MAZINGA,Plant,6,4.5,Female,0,0,2,2,0,Healthy,28.6,NotLactating,17,10/09/2020,50,September,Noplant,P2,224
MAZINGA,Plant,6,4.5,Female,1,0,2,2,0,Sick,28.6,NotLactating,18,24/09/2020,0,September,mtawa,P2,238
MAZINGA,Plant,6,4.5,Female,1,0,2,2,0,Healthy,28.6,NotLactating,19,08/10/2020,0,October,Noplant,P2,252
MAZINGA,Plant,6,4.5,Female,1,0,2,2,0,Healthy,29.9,NotLactating,20,22/10/2020,,October,Noplant,P2,266
MAZINGA,Plant,6,4.5,Female,1,0,2,2,0,Healthy,29.9,NotLactating,21,05/11/2020,250,November,Noplant,P2,280
MAZINGA,Plant,6,4.5,Female,0,0,2,2.5,0,Healthy,32.6,Pregnant,22,19/11/2020,50,November,Noplant,P2,294
MAZINGA,Plant,6,4.5,Female,1,0,2,2,0,Healthy,31.3,Pregnant,23,03/12/2020,100,December,Noplant,P2,308
MAZINGA,Plant,6,4.5,Female,0,0,2,2,0,Healthy,36.7,Pregnant,24,17/12/2020,0,December,Noplant,P2,322
MAZINGA,Plant,6,4.5,Female,0,0,1,2,0,Healthy,32.6,Pregnant,25,31/12/2020,50,December,Noplant,P2,336
MAZINGA,Plant,6,4.5,Female,0,0,2,2,0,Healthy,29.9,Pregnant,26,14/01/2021,0,January,Noplant,P2,350
MAZINGA,Plant,6,4.5,Female,0,0,2,2,0,Healthy,38.1,Pregnant,27,28/01/2021,150,January,Noplant,P2,364
MAZINGA,Plant,6,4.5,Female,0,0,2,2,0,Healthy,28.6,Lactating,28,11/02/2021,150,February,Noplant,P2,378
MAZINGA,Plant,6,4.5,Female,0,0,2,2,0,Healthy,27.2,Lactating,29,25/02/2021,,February,Noplant,P2,392
MAZINGA,Plant,7,5.5,Female,0,0,2,2,0,Healthy,36.7,Lactating,1,30/01/2020,1550,January,Noplant,P2,0
MAZINGA,Plant,7,5.5,Female,0,0,2,2,0,Healthy,32.6,Lactating,2,13/02/2020,0,February,Noplant,P2,14
