Location,TST,Tag,Status,Visit
MAZINGA,Plant,1,Borderline,1
MAZINGA,Plant,2,Borderline,1
MAZINGA,Plant,3,Healthy,1
MAZINGA,Plant,6,Healthy,1
MAZINGA,Plant,7,Healthy,1
MAZINGA,Plant,8,Borderline,1
MAZINGA,Plant,9,Healthy,1
MAZINGA,Plant,12,Healthy,1
MAZINGA,Plant,13,Borderline,1
MAZINGA,Plant,14,Borderline,1
MAZINGA,Plant,18,Healthy,1
MAZINGA,Plant,19,Borderline,1
MAZINGA,Plant,20,Sick,1
MAZINGA,Plant,24,Healthy,1
MAZINGA,Plant,25,Healthy,1
MAZINGA,Plant,26,Borderline,1
MAZINGA,Plant,30,Healthy,1
MAZINGA,Plant,31,Borderline,1
MAZINGA,Plant,32,Borderline,1
MAZINGA,Plant,35,Borderline,1
MAZINGA,Plant,36,Borderline,1
MAZINGA,Plant,37,Healthy,1
MAZINGA,Plant,38,Healthy,1
MAZINGA,Plant,41,Healthy,1
MAZINGA,Plant,42,Healthy,1
MAZINGA,Plant,43,Healthy,1
MAZINGA,Plant,44,Grazing,1
MAZINGA,Plant,45,Healthy,1
MAZINGA,Plant,46,Healthy,1
MAZINGA,Plant,47,Healthy,1
MAZINGA,Plant,48,Borderline,1
CHINKHOWE,Plant,50,Healthy,1
CHINKHOWE,Plant,51,Sick,1
CHINKHOWE,Plant,52,Borderline,1
CHINKHOWE,Plant,53,Borderline,1
CHINKHOWE,Plant,54,Healthy,1
CHINKHOWE,Plant,57,Healthy,1
CHINKHOWE,Plant,58,Borderline,1
CHINKHOWE,Plant,59,Healthy,1
CHINKHOWE,Plant,60,Healthy,1
CHINKHOWE,Plant,61,Healthy,1
CHINKHOWE,Plant,63,Borderline,1
CHINKHOWE,Plant,64,Healthy,1
CHINKHOWE,Plant,65,Healthy,1
CHINKHOWE,Plant,66,Borderline,1
CHINKHOWE,Plant,67,Healthy,1
CHINKHOWE,Plant,68,Borderline,1
CHINKHOWE,Plant,72,Borderline,1
CHINKHOWE,Plant,73,Borderline,1
CHINKHOWE,Plant,74,Sick,1
CHINKHOWE,Plant,75,Sick,1
CHINKHOWE,Plant,79,Borderline,1
CHINKHOWE,Plant,80,Borderline,1
CHINKHOWE,Plant,81,Borderline,1
CHINKHOWE,Plant,82,Sick,1
CHINKHOWE,Plant,86,Healthy,1
CHINKHOWE,Plant,87,Healthy,1
CHINKHOWE,Plant,91,Healthy,1
CHINKHOWE,Plant,92,Sick,1
CHINKHOWE,Plant,93,Borderline,1
CHINKHOWE,Plant,95,Healthy,1
CHINKHOWE,Plant,96,Borderline,1
CHINKHOWE,Plant,97,Borderline,1
CHINKHOWE,Plant,98,Healthy,1
CHINKHOWE,Plant,99,Healthy,1
KAMCHEZERA,Drug,100,Healthy,1
KAMCHEZERA,Drug,101,Healthy,1
KAMCHEZERA,Drug,102,Healthy,1
KAMCHEZERA,Drug,105,Borderline,1
KAMCHEZERA,Drug,106,Healthy,1
KAMCHEZERA,Drug,107,Healthy,1
KAMCHEZERA,Drug,108,Sick,1
KAMCHEZERA,Drug,111,Borderline,1
KAMCHEZERA,Drug,114,Borderline,1
KAMCHEZERA,Drug,115,Borderline,1
KAMCHEZERA,Drug,116,Borderline,1
MKWINDA,Drug,120,Borderline,1
MKWINDA,Drug,121,Borderline,1
MKWINDA,Drug,122,Healthy,1
MKWINDA,Drug,123,Borderline,1
MKWINDA,Drug,128,Borderline,1
MKWINDA,Drug,132,Healthy,1
MKWINDA,Drug,135,Healthy,1
MKWINDA,Drug,136,Healthy,1
MKWINDA,Drug,137,Healthy,1
KAMCHEZERA,Drug,138,Healthy,1
KAMCHEZERA,Drug,139,Borderline,1
KAMCHEZERA,Drug,140,Healthy,1
KAMCHEZERA,Drug,141,Healthy,1
MKWINDA,Drug,142,Sick,1
MKWINDA,Drug,143,Borderline,1
MKWINDA,Drug,150,Borderline,1
MKWINDA,Drug,151,Healthy,1
MKWINDA,Drug,152,Borderline,1
MKWINDA,Drug,153,Grazing,1
MKWINDA,Drug,156,Healthy,1
MAZINGA,Plant,200,Sick,1
MAZINGA,Plant,201,Healthy,1
MAZINGA,Plant,205,Healthy,1
MAZINGA,Plant,206,Sick,1
MAZINGA,Plant,207,Healthy,1
MAZINGA,Plant,210,Healthy,1
MAZINGA,Plant,211,Healthy,1
MAZINGA,Plant,212,Healthy,1
MAZINGA,Plant,213,Healthy,1
MAZINGA,Plant,214,Healthy,1
MAZINGA,Plant,215,Healthy,1
MAZINGA,Plant,217,Healthy,1
MAZINGA,Plant,218,Healthy,1
MAZINGA,Plant,219,Healthy,1
CHINKHOWE,Plant,300,Healthy,1
CHINKHOWE,Plant,301,Healthy,1
CHINKHOWE,Plant,302,Healthy,1
CHINKHOWE,Plant,303,Healthy,1
CHINKHOWE,Plant,305,Healthy,1
CHINKHOWE,Plant,306,Healthy,1
CHINKHOWE,Plant,602,Healthy,1
MKWINDA,Drug,10757,Borderline,1
KAMCHEZERA,Drug,26058,Healthy,1
KAMCHEZERA,Drug,26059,Healthy,1
KAMCHEZERA,Drug,26060,Healthy,1
KAMCHEZERA,Drug,26065,Borderline,1
KAMCHEZERA,Drug,26075,Sick,1
KAMCHEZERA,Drug,26077,Healthy,1
KAMCHEZERA,Drug,26085,Healthy,1
MKWINDA,Drug,26383,Borderline,1
MKWINDA,Drug,26437,Healthy,1
KAMCHEZERA,Drug,26529,Borderline,1
KAMCHEZERA,Drug,26549,Sick,1
KAMCHEZERA,Drug,26552,Borderline,1
KAMCHEZERA,Drug,26553,Sick,1
KAMCHEZERA,Drug,26558,Healthy,1
KAMCHEZERA,Drug,26559,Healthy,1
KAMCHEZERA,Drug,26560,Healthy,1
KAMCHEZERA,Drug,26607,Healthy,1
KAMCHEZERA,Drug,26608,Healthy,1
KAMCHEZERA,Drug,26624,Healthy,1
KAMCHEZERA,Drug,26625,Healthy,1
