Location,TST,Tag,Age,Sex,Nasal,Jaw,FAMACHA,BCS,Dag,Status_Field,Status_FPC,Weight,Lactation,Visit,Date,FEC,TFEC,month,plant,farm,time,tx2,month2,year,time2,Month_year
MAZINGA,Plant,1,3.5,F,0,0,2,1.5,0,Borderline,Borderline,35.4,NotLactating,1,2020-01-30,1700,1700,January,mtawa,P1,0,plantpl,Jan,2020,,January2020
MAZINGA,Plant,2,2,F,1,0,3,2,0,Borderline,Borderline,21.8,NotLactating,1,2020-01-30,150,150,January,mtawa,P1,0,plantpl,Jan,2020,,January2020
MAZINGA,Plant,3,1,F,1,0,2,3,0,Healthy,Healthy_Nasal,23.1,NotLactating,1,2020-01-30,3350,3350,January,mtawa,P1,0,nonepl,Jan,2020,,January2020
MAZINGA,Plant,6,4.5,F,1,0,2,3,0,Healthy,Healthy_Nasal,25.9,Pregnant,1,2020-01-30,300,300,January,mtawa,P2,0,nonepl,Jan,2020,,January2020
MAZINGA,Plant,7,4.5,F,0,0,2,2,0,Healthy,Healthy,36.7,Lactating,1,2020-01-30,1550,1550,January,mtawa,P2,0,nonepl,Jan,2020,,January2020
MAZINGA,Plant,8,3,F,1,0,3,2.5,0,Borderline,Borderline,34.2,Pregnant,1,2020-01-30,550,550,January,mtawa,P2,0,plantpl,Jan,2020,,January2020
MAZINGA,Plant,12,3,F,0,0,1,2.5,0,Healthy,Healthy,32.6,NotLactating,1,2020-01-30,4400,4400,January,mtawa,P3,0,nonepl,Jan,2020,,January2020
MAZINGA,Plant,13,3,F,0,0,3,2,0,Borderline,Borderline,32.6,Lactating,1,2020-01-30,2950,2950,January,mtawa,P3,0,plantpl,Jan,2020,,January2020
MAZINGA,Plant,14,1,F,1,0,2,1.5,0,Borderline,Borderline,20.4,NotLactating,1,2020-01-30,550,550,January,mtawa,P3,0,plantpl,Jan,2020,,January2020
MAZINGA,Plant,18,2,F,0,0,2,2,0,Healthy,Healthy,21.8,Lactating,1,2020-01-30,1050,1050,January,mtawa,P4,0,nonepl,Jan,2020,,January2020
MAZINGA,Plant,19,4,F,0,0,3,2,0,Borderline,Borderline,28.6,Lactating,1,2020-01-30,400,400,January,mtawa,P4,0,plantpl,Jan,2020,,January2020
KAMCHEZERA,Drug,108,3,F,0,0,4,1.5,0,Sick,Sick,24.5,NotLactating,1,2020-01-31,2700,2900,January,,D3,0,drugdr,Jan,2020,,January2020
MAZINGA,Plant,24,3,F,0,0,2,2.5,0,Healthy,Healthy,28.6,Pregnant,1,2020-01-30,3600,3600,January,mtawa,P5,0,nonepl,Jan,2020,,January2020
MAZINGA,Plant,25,3.5,F,0,0,2,2,1,Healthy,Healthy,36.7,NotLactating,1,2020-01-30,1400,1400,January,mtawa,P5,0,nonepl,Jan,2020,,January2020
MAZINGA,Plant,26,1.5,F,0,0,3,2,0,Borderline,Borderline,19.1,Pregnant,1,2020-01-30,4000,4000,January,mtawa,P5,0,plantpl,Jan,2020,,January2020
MAZINGA,Plant,94713,3.5,F,0,0,2,2,0,Healthy,Healthy,39.5,NotLactating,1,2020-01-30,900,900,January,mtawa,P1,0,nonepl,Jan,2020,,January2020
MAZINGA,Plant,94714,3,F,1,0,2,2,2,Healthy,Healthy_Nasal,32.6,Pregnant,1,2020-01-30,100,100,January,mtawa,P1,0,nonepl,Jan,2020,,January2020
KAMCHEZERA,Drug,26075,3,F,0,0,4,2,0,Sick,Sick,27.2,Lactating,1,2020-01-31,500,500,January,,D5,0,drugdr,Jan,2020,,January2020
MAZINGA,Plant,95655,4.5,F,0,0,3,1.5,0,Borderline,Borderline,36.7,NotLactating,1,2020-01-30,1300,1300,January,mtawa,P4,0,plantpl,Jan,2020,,January2020
MAZINGA,Plant,98896,3,F,1,0,2,2.5,0,Healthy,Healthy_Nasal,29.9,NotLactating,1,2020-01-30,1150,1150,January,mtawa,P1,0,nonepl,Jan,2020,,January2020
MAZINGA,Plant,98897,4.5,F,1,0,2,2,0,Healthy,Healthy_Nasal,29.9,Lactating,1,2020-01-30,3900,3900,January,mtawa,P1,0,nonepl,Jan,2020,,January2020
MAZINGA,Plant,black 94,4,F,0,0,2,2,0,Healthy,Healthy,29.9,NotLactating,1,2020-01-30,800,800,January,mtawa,P1,0,nonepl,Jan,2020,,January2020
KAMCHEZERA,Drug,100,3,F,0,0,2,2,0,Healthy,Healthy,27.2,Lactating,1,2020-01-31,200,200,January,,D1,0,nonedr,Jan,2020,,January2020
KAMCHEZERA,Drug,101,2,F,0,0,2,3,0,Healthy,Healthy,25.9,Pregnant,1,2020-01-31,,.,January,,D1,0,nonedr,Jan,2020,,January2020
KAMCHEZERA,Drug,105,1,F,0,0,3,1.5,0,Borderline,Borderline,21.8,Lactating,1,2020-01-31,4400,4400,January,,D3,0,plantdr,Jan,2020,,January2020
KAMCHEZERA,Drug,106,1,F,0,0,2,2,0,Healthy,Healthy,31.3,Pregnant,1,2020-01-31,700,700,January,,D3,0,nonedr,Jan,2020,,January2020
KAMCHEZERA,Drug,107,1,F,0,0,2,2.5,0,Healthy,Healthy,28.6,NotLactating,1,2020-01-31,200,200,January,,D3,0,nonedr,Jan,2020,,January2020
KAMCHEZERA,Drug,26549,3,F,0,0,4,2.5,0,Sick,Sick,36.7,Lactating,1,2020-01-31,10100,10100,January,,D3,0,drugdr,Jan,2020,,January2020
KAMCHEZERA,Drug,111,1,F,0,0,3,2,0,Borderline,Borderline,27.2,Pregnant,1,2020-01-31,3300,3300,January,,D6,0,plantdr,Jan,2020,,January2020
