Month_Year,Plant,Harvest,Plant_Local,Location,Count,Total,Harvest_Weight,Total_Weight
February2020,C_africana_Harvested,Yes,kakhobo,MAZINGA,2,3,2.5,3.75
February2020,C_africana_Harvested,Yes,kakhobo,CHINKHOWE,12,14,15,17.5
February2020,F_ingens_Harvested,Yes,mtawa,MAZINGA,14,33,17.5,41.25
February2020,F_ingens_Harvested,Yes,mtawa,CHINKHOWE,4,22,5,27.5
February2020,G_arborea_Harvested,Yes,gmelina,MAZINGA,0,0,0,0
February2020,G_arborea_Harvested,Yes,gmelina,CHINKHOWE,18,28,22.5,35
February2020,C_africana_Total,No,kakhobo,MAZINGA,1,,1.25,
February2020,C_africana_Total,No,kakhobo,CHINKHOWE,2,,2.5,
February2020,F_ingens_Total,No,mtawa,MAZINGA,19,,23.75,
February2020,F_ingens_Total,No,mtawa,CHINKHOWE,18,,22.5,
February2020,G_arborea_Total,No,gmelina,MAZINGA,0,,0,
February2020,G_arborea_Total,No,gmelina,CHINKHOWE,10,,12.5,
March2020,C_africana_Harvested,Yes,kakhobo,MAZINGA,4,6,5,7.5
March2020,C_africana_Harvested,Yes,kakhobo,CHINKHOWE,12,14,15,17.5
March2020,F_ingens_Harvested,Yes,mtawa,MAZINGA,14,34,17.5,42.5
March2020,F_ingens_Harvested,Yes,mtawa,CHINKHOWE,2,22,2.5,27.5
March2020,G_arborea_Harvested,Yes,gmelina,MAZINGA,0,0,0,0
March2020,G_arborea_Harvested,Yes,gmelina,CHINKHOWE,8,28,10,35
March2020,C_africana_Total,No,kakhobo,MAZINGA,2,,2.5,
March2020,C_africana_Total,No,kakhobo,CHINKHOWE,2,,2.5,
March2020,F_ingens_Total,No,mtawa,MAZINGA,20,,25,
March2020,F_ingens_Total,No,mtawa,CHINKHOWE,20,,25,
March2020,G_arborea_Total,No,gmelina,MAZINGA,0,,0,
March2020,G_arborea_Total,No,gmelina,CHINKHOWE,20,,25,
April2020,C_africana_Harvested,Yes,kakhobo,MAZINGA,1,6,1.25,7.5
April2020,C_africana_Harvested,Yes,kakhobo,CHINKHOWE,9,21,11.25,26.25
April2020,F_ingens_Harvested,Yes,mtawa,MAZINGA,3,34,3.75,42.5
April2020,F_ingens_Harvested,Yes,mtawa,CHINKHOWE,0,33,0,41.25
April2020,G_arborea_Harvested,Yes,gmelina,MAZINGA,0,0,0,0
April2020,G_arborea_Harvested,Yes,gmelina,CHINKHOWE,3,42,3.75,52.5
