Location,TST,Tag,Age,Sex,Nasal,Jaw,FAMACHA,BCS,Dag,Status1,Weight,Lactation,Visit,Date,FEC,TFEC,month,plant,farm,tx2,month2,Time,Status,plantx,plantreal,season,plantx2,plantx3
MAZINGA,Plant,1,3.5,F,0,0,2,1.5,0,Borderline,35.4,NotLactating,1,30/01/2020,1700,1700,January,Ficus ingens,P1,plantpl,1,1,1,1,1,Rainy,1,1
MAZINGA,Plant,2,2,F,1,0,3,2,0,Borderline,21.8,NotLactating,1,30/01/2020,150,150,January,Ficus ingens,P1,plantpl,1,1,1,1,1,Rainy,1,1
MAZINGA,Plant,3,1,F,0,0,2,3,0,Healthy,23.1,NotLactating,2,13/02/2020,1050,1250,February,Ficus ingens,P1,nonepl,2,14,1,0,0,Rainy,0,0
MAZINGA,Plant,6,4.5,F,1,0,2,2,0,Sick,28.6,NotLactating,18,25/02/2021,,,February,Ficus ingens,P2,nonepl,2,238,2,0,0,Rainy,0,0
MAZINGA,Plant,7,4.5,F,0,0,2,2,4,Sick,40.8,Lactating,21,25/02/2021,350,,February,Ficus ingens,P2,nonepl,2,280,2,0,0,Rainy,0,0
MAZINGA,Plant,8,3,F,1,0,2,2.5,0,Healthy,35.4,Lactating,12,16/07/2020,,,July,Ficus ingens,P2,,7,154,1,2,2,Dry,2,2
MAZINGA,Plant,9,1.5,F,0,0,2,2,0,Healthy,32.6,NotLactating,7,03/12/2020,,,December,Ficus ingens,P2,,12,84,1,3,3,Rainy,3,3
MAZINGA,Plant,12,3,F,0,0,2,2,0,Healthy,28.6,Lactating,29,25/02/2021,7750,,January,Ficus ingens,P3,nonepl,1,392,1,1,1,Rainy,1,1
MAZINGA,Plant,13,3,F,0,0,2,2,0,Healthy,38.1,NotLactating,24,31/12/2020,,,December,Ficus ingens,P3,,12,322,1,4,4,Rainy,4+,4+
MAZINGA,Plant,14,1,F,0,0,2,2,0,Healthy,24.5,NotLactating,10,18/06/2020,,.,June,Ficus ingens,P3,,6,126,1,6,6,Dry,4+,4+
MAZINGA,Plant,18,2,F,0,0,2,1.5,0,Sick,23.1,Pregnant,22,03/12/2020,,,December,Ficus ingens,P4,,12,294,2,3,3,Rainy,3,3
MAZINGA,Plant,19,4,F,0,0,2,2.5,4,Sick,34.2,NotLactating,10,22/10/2020,,,October,Ficus ingens,P4,,10,126,2,4,4,Dry,4+,4+
MAZINGA,Plant,20,4.5,F,1,0,5,1,5,Sick,28.6,NotLactating,1,13/02/2020,,.,February,Ficus ingens,P4,,2,14,2,0,0,Rainy,0,0
MAZINGA,Plant,24,3,F,0,0,2,2.5,0,Healthy,28.6,Lactating,7,07/05/2020,,.,May,Ficus ingens,P5,,4,84,1,0,0,Dry,0,0
MAZINGA,Plant,25,3.5,F,0,0,2,2,0,Healthy,29.9,Lactating,12,27/08/2020,,,August,Ficus ingens,P5,,7,168,1,0,0,Dry,0,0
MAZINGA,Plant,26,1.5,F,0,0,4,1.5,0,Sick,27.2,Lactating,5,16/07/2020,,.,July,Ficus ingens,P5,,7,56,2,1,1,Dry,1,1
