time2,TST,FEC,sd,Precipitation,Presd,Mintemp,Minsd,Maxtemp,Maxsd
Jan-20,Drug,1050,2484.336552,10.306,4.129,17.85,0.033,21.757,1.36
Jan-20,Plant,1300,1507.19702,10.306,4.129,17.85,0.033,21.757,1.36
Feb-20,Drug,1750,2319.6649,7.534,10.441,17.745,0.785,24.359,2.238
Feb-20,Plant,1650,3946.364501,7.534,10.441,17.745,0.785,24.359,2.238
Mar-20,Drug,950,3007.798661,1.193,3.242,16.748,1.58,24.397,2.08
Mar-20,Plant,650,2494.424338,1.193,3.242,16.748,1.58,24.397,2.08
Apr-20,Drug,475,1705.700289,0.204,1.013,15.199,1.707,24.432,2.204
Apr-20,Plant,750,1547.096558,0.204,1.013,15.199,1.707,24.432,2.204
May-20,Drug,100,380.5626989,0.27,1.361,11.923,3.05,23.525,2.768
May-20,Plant,150,463.0967699,0.27,1.361,11.923,3.05,23.525,2.768
Jun-20,Drug,100,187.0417618,0.026,0.111,10.502,1.527,18.992,3.452
Jun-20,Plant,100,266.3455871,0.026,0.111,10.502,1.527,18.992,3.452
Jul-20,Drug,50,223.1743199,0.028,0.155,9.485,1.942,17.362,3.415
Jul-20,Plant,50,126.4969768,0.028,0.155,9.485,1.942,17.362,3.415
Aug-20,Drug,0,74.22835365,0,0,12.107,2.976,25.669,3.534
Aug-20,Plant,50,100.0347162,0,0,12.107,2.976,25.669,3.534
Sep-20,Drug,50,172.7173792,0,0,14.708,2.441,28.408,3.47
Sep-20,Plant,50,105.4989888,0,0,14.708,2.441,28.408,3.47
Oct-20,Drug,100,256.4011955,0.843,2.602,17.005,1.71,29.363,2.804
Oct-20,Plant,100,264.2499003,0.843,2.602,17.005,1.71,29.363,2.804
Nov-20,Drug,200,557.9138674,0.136,0.431,18.6,1.638,32.416,2.802
Nov-20,Plant,150,1398.921805,0.136,0.431,18.6,1.638,32.416,2.802
Dec-20,Drug,100,634.0689293,6.318,7.225,18.43,1.18,27.589,2.18
Dec-20,Plant,100,443.5356985,6.318,7.225,18.43,1.18,27.589,2.18
Jan-21,Drug,350,1319.27001,8.763,12.292,17.694,1.047,26.796,2.046
Jan-21,Plant,300,1645.189363,8.763,12.292,17.694,1.047,26.796,2.046
Feb-21,Drug,900,1702.526079,13.646,21.401,18.134,1.472,27.782,1.956
Feb-21,Plant,550,2061.358923,13.646,21.401,18.134,1.472,27.782,1.956
Mar-21,Drug,1300,2661.562143,1.34,1.536,16.793,2.818,25.963,1.524
Mar-21,Plant,950,2903.455587,1.34,1.536,16.793,2.818,25.963,1.524
