time2,FAMACHA,TST,count,perc
Apr-20,2,Drug,93,0.939393939
Apr-20,3,Drug,5,0.050505051
Apr-20,4,Drug,1,0.01010101
Aug-20,1,Drug,1,0.009009009
Aug-20,2,Drug,105,0.945945946
Aug-20,3,Drug,5,0.045045045
Dec-20,1,Drug,1,0.008
Dec-20,2,Drug,110,0.88
Dec-20,3,Drug,11,0.088
Dec-20,4,Drug,3,0.024
Feb-20,1,Drug,1,0.00990099
Feb-20,2,Drug,57,0.564356436
Feb-20,3,Drug,41,0.405940594
Feb-20,4,Drug,2,0.01980198
Feb-21,2,Drug,100,0.862068966
Feb-21,3,Drug,15,0.129310345
Feb-21,4,Drug,1,0.00862069
Jan-20,2,Drug,6,0.285714286
Jan-20,3,Drug,11,0.523809524
Jan-20,4,Drug,4,0.19047619
Jan-21,1,Drug,1,0.006369427
Jan-21,2,Drug,144,0.917197452
Jan-21,3,Drug,9,0.057324841
Jan-21,4,Drug,3,0.01910828
Jul-20,1,Drug,3,0.025423729
Jul-20,2,Drug,113,0.957627119
Jul-20,3,Drug,2,0.016949153
Jun-20,2,Drug,89,0.978021978
Jun-20,3,Drug,2,0.021978022
Mar-20,1,Drug,3,0.020547945
Mar-20,2,Drug,116,0.794520548
Mar-20,3,Drug,25,0.171232877
Mar-20,4,Drug,2,0.01369863
Mar-21,2,Drug,24,0.888888889
Mar-21,3,Drug,3,0.111111111
May-20,1,Drug,2,0.021505376
May-20,2,Drug,84,0.903225806
May-20,3,Drug,7,0.075268817
Nov-20,1,Drug,1,0.008695652
Nov-20,2,Drug,108,0.939130435
Nov-20,3,Drug,6,0.052173913
Oct-20,1,Drug,1,0.009090909
Oct-20,2,Drug,102,0.927272727
Oct-20,3,Drug,6,0.054545455
Oct-20,4,Drug,1,0.009090909
Sep-20,1,Drug,1,0.006666667
Sep-20,2,Drug,142,0.946666667
Sep-20,3,Drug,6,0.04
Sep-20,4,Drug,1,0.006666667
Apr-20,1,Plant,4,0.029850746
Apr-20,2,Plant,122,0.910447761
Apr-20,3,Plant,8,0.059701493
Aug-20,1,Plant,1,0.010869565
Aug-20,2,Plant,91,0.989130435
Dec-20,1,Plant,4,0.025974026
Dec-20,2,Plant,137,0.88961039
Dec-20,3,Plant,13,0.084415584
Feb-20,1,Plant,6,0.0625
Feb-20,2,Plant,57,0.59375
Feb-20,3,Plant,26,0.270833333
Feb-20,4,Plant,7,0.072916667
Feb-21,1,Plant,1,0.009345794
Feb-21,2,Plant,98,0.91588785
Feb-21,3,Plant,7,0.065420561
Feb-21,4,Plant,1,0.009345794
Jan-20,1,Plant,1,0.045454545
Jan-20,2,Plant,14,0.636363636
Jan-20,3,Plant,6,0.272727273
Jan-20,5,Plant,1,0.045454545
Jan-21,2,Plant,115,0.942622951
Jan-21,3,Plant,7,0.057377049
Jul-20,1,Plant,2,0.017857143
Jul-20,2,Plant,105,0.9375
Jul-20,3,Plant,4,0.035714286
Jul-20,4,Plant,1,0.008928571
Jun-20,1,Plant,1,0.013513514
Jun-20,2,Plant,72,0.972972973
Jun-20,3,Plant,1,0.013513514
Mar-20,1,Plant,4,0.038461538
Mar-20,2,Plant,80,0.769230769
Mar-20,3,Plant,18,0.173076923
Mar-20,4,Plant,2,0.019230769
Mar-21,2,Plant,24,0.888888889
Mar-21,3,Plant,3,0.111111111
May-20,1,Plant,5,0.048076923
May-20,2,Plant,96,0.923076923
May-20,3,Plant,3,0.028846154
Nov-20,1,Plant,3,0.032258065
Nov-20,2,Plant,86,0.924731183
Nov-20,3,Plant,4,0.043010753
Oct-20,2,Plant,121,0.975806452
Oct-20,3,Plant,3,0.024193548
Sep-20,1,Plant,3,0.028571429
Sep-20,2,Plant,100,0.952380952
Sep-20,3,Plant,2,0.019047619
