time2,BCS,TST,count,perc
Apr-20,1,Drug,2,0.020408163
Apr-20,1.5,Drug,13,0.132653061
Apr-20,2,Drug,54,0.551020408
Apr-20,2.5,Drug,26,0.265306122
Apr-20,3,Drug,3,0.030612245
Aug-20,1,Drug,2,0.017857143
Aug-20,1.5,Drug,4,0.035714286
Aug-20,2,Drug,50,0.446428571
Aug-20,2.5,Drug,48,0.428571429
Aug-20,3,Drug,8,0.071428571
Dec-20,1,Drug,5,0.04
Dec-20,1.5,Drug,8,0.064
Dec-20,2,Drug,91,0.728
Dec-20,2.5,Drug,21,0.168
Feb-20,1,Drug,2,0.01980198
Feb-20,1.5,Drug,28,0.277227723
Feb-20,2,Drug,56,0.554455446
Feb-20,2.5,Drug,14,0.138613861
Feb-20,3,Drug,1,0.00990099
Feb-21,1,Drug,2,0.017241379
Feb-21,1.5,Drug,21,0.181034483
Feb-21,2,Drug,84,0.724137931
Feb-21,2.5,Drug,9,0.077586207
Jan-20,1,Drug,1,0.047619048
Jan-20,1.5,Drug,5,0.238095238
Jan-20,2,Drug,8,0.380952381
Jan-20,2.5,Drug,5,0.238095238
Jan-20,3,Drug,1,0.047619048
Jan-20,3.5,Drug,1,0.047619048
Jan-21,1,Drug,3,0.01910828
Jan-21,1.5,Drug,18,0.114649682
Jan-21,2,Drug,111,0.707006369
Jan-21,2.5,Drug,25,0.159235669
Jul-20,1.5,Drug,3,0.025423729
Jul-20,2,Drug,52,0.440677966
Jul-20,2.5,Drug,42,0.355932203
Jul-20,3,Drug,21,0.177966102
Jun-20,1,Drug,1,0.010989011
Jun-20,1.5,Drug,3,0.032967033
Jun-20,2,Drug,37,0.406593407
Jun-20,2.5,Drug,32,0.351648352
Jun-20,3,Drug,18,0.197802198
Mar-20,1,Drug,10,0.068493151
Mar-20,1.5,Drug,43,0.294520548
Mar-20,2,Drug,66,0.452054795
Mar-20,2.5,Drug,26,0.178082192
Mar-20,3,Drug,1,0.006849315
Mar-21,1.5,Drug,4,0.148148148
Mar-21,2,Drug,21,0.777777778
Mar-21,2.5,Drug,2,0.074074074
May-20,1.5,Drug,8,0.086021505
May-20,2,Drug,37,0.397849462
May-20,2.5,Drug,36,0.387096774
May-20,3,Drug,12,0.129032258
Nov-20,1,Drug,2,0.017391304
Nov-20,1.5,Drug,9,0.07826087
Nov-20,2,Drug,65,0.565217391
Nov-20,2.5,Drug,38,0.330434783
Nov-20,3,Drug,1,0.008695652
Oct-20,1,Drug,1,0.009090909
Oct-20,1.5,Drug,9,0.081818182
Oct-20,2,Drug,69,0.627272727
Oct-20,2.5,Drug,30,0.272727273
Oct-20,3,Drug,1,0.009090909
Sep-20,1,Drug,2,0.013333333
Sep-20,1.5,Drug,6,0.04
Sep-20,2,Drug,85,0.566666667
Sep-20,2.5,Drug,50,0.333333333
Sep-20,3,Drug,7,0.046666667
Apr-20,1,Plant,1,0.007462687
Apr-20,1.5,Plant,9,0.067164179
Apr-20,2,Plant,83,0.619402985
Apr-20,2.5,Plant,39,0.291044776
Apr-20,3,Plant,2,0.014925373
Aug-20,1.5,Plant,2,0.02173913
Aug-20,2,Plant,44,0.47826087
Aug-20,2.5,Plant,34,0.369565217
Aug-20,3,Plant,11,0.119565217
Aug-20,3.5,Plant,1,0.010869565
Dec-20,1.5,Plant,10,0.064935065
Dec-20,2,Plant,111,0.720779221
Dec-20,2.5,Plant,33,0.214285714
Feb-20,1,Plant,2,0.020833333
Feb-20,1.5,Plant,32,0.333333333
Feb-20,2,Plant,45,0.46875
Feb-20,2.5,Plant,15,0.15625
Feb-20,3,Plant,2,0.020833333
Feb-21,1.5,Plant,10,0.093457944
Feb-21,2,Plant,91,0.85046729
Feb-21,2.5,Plant,6,0.056074766
Jan-20,1,Plant,2,0.090909091
Jan-20,1.5,Plant,3,0.136363636
Jan-20,2,Plant,11,0.5
Jan-20,2.5,Plant,4,0.181818182
Jan-20,3,Plant,2,0.090909091
Jan-21,1.5,Plant,6,0.049180328
Jan-21,2,Plant,107,0.87704918
Jan-21,2.5,Plant,9,0.073770492
Jul-20,1,Plant,1,0.009009009
Jul-20,1.5,Plant,3,0.027027027
Jul-20,2,Plant,39,0.351351351
Jul-20,2.5,Plant,50,0.45045045
Jul-20,3,Plant,18,0.162162162
Jun-20,1.5,Plant,1,0.013513514
Jun-20,2,Plant,23,0.310810811
Jun-20,2.5,Plant,30,0.405405405
Jun-20,3,Plant,19,0.256756757
Jun-20,3.5,Plant,1,0.013513514
Mar-20,1,Plant,3,0.028846154
Mar-20,1.5,Plant,29,0.278846154
Mar-20,2,Plant,53,0.509615385
Mar-20,2.5,Plant,14,0.134615385
Mar-20,3,Plant,5,0.048076923
Mar-21,2,Plant,25,0.925925926
Mar-21,2.5,Plant,2,0.074074074
May-20,1,Plant,1,0.009615385
May-20,1.5,Plant,3,0.028846154
May-20,2,Plant,41,0.394230769
May-20,2.5,Plant,45,0.432692308
May-20,3,Plant,14,0.134615385
Nov-20,1.5,Plant,2,0.021505376
Nov-20,2,Plant,64,0.688172043
Nov-20,2.5,Plant,27,0.290322581
Oct-20,1.5,Plant,3,0.024193548
Oct-20,2,Plant,76,0.612903226
Oct-20,2.5,Plant,43,0.346774194
Oct-20,3,Plant,2,0.016129032
Sep-20,1.5,Plant,3,0.028571429
Sep-20,2,Plant,60,0.571428571
Sep-20,2.5,Plant,34,0.323809524
Sep-20,3,Plant,8,0.076190476
