time2,Nasal,TST,count,perc,d,total
Apr-20,0,Drug,86,0.8776,98,98
Apr-20,1,Drug,12,0.1224,,98
Aug-20,0,Drug,92,0.8214,112,112
Aug-20,1,Drug,20,0.1786,,112
Dec-20,0,Drug,118,0.944,125,125
Dec-20,1,Drug,7,0.056,,125
Feb-20,0,Drug,85,0.8416,101,101
Feb-20,1,Drug,16,0.1584,,101
Feb-21,0,Drug,110,0.9483,116,116
Feb-21,1,Drug,6,0.0517,,116
Jan-20,0,Drug,21,1,21,21
Jan-20,1,Drug,0,0,,21
Jan-21,0,Drug,150,0.9554,157,157
Jan-21,1,Drug,7,0.0446,,157
Jul-20,0,Drug,99,0.839,118,118
Jul-20,1,Drug,19,0.161,,118
Jun-20,0,Drug,78,0.8571,91,91
Jun-20,1,Drug,13,0.1429,,91
Mar-20,0,Drug,133,0.911,146,146
Mar-20,1,Drug,13,0.089,,146
Mar-21,0,Drug,25,0.9259,27,27
Mar-21,1,Drug,2,0.0741,,27
May-20,0,Drug,74,0.8315,89,89
May-20,1,Drug,15,0.1685,,89
Nov-20,0,Drug,107,0.9304,115,115
Nov-20,1,Drug,8,0.0696,,115
Oct-20,0,Drug,100,0.9091,110,110
Oct-20,1,Drug,10,0.0909,,110
Sep-20,0,Drug,133,0.8867,150,150
Sep-20,1,Drug,17,0.1133,,150
Apr-20,0,Plant,130,0.9701,134,134
Apr-20,1,Plant,4,0.0299,,134
Aug-20,0,Plant,85,0.9239,92,92
Aug-20,1,Plant,7,0.0761,,92
Dec-20,0,Plant,150,0.974,154,154
Dec-20,1,Plant,4,0.026,,154
Feb-20,0,Plant,88,0.9167,96,96
Feb-20,1,Plant,8,0.0833,,96
Feb-21,0,Plant,106,0.9907,107,107
Feb-21,1,Plant,1,0.0093,,107
Jan-20,0,Plant,12,0.5455,22,22
Jan-20,1,Plant,10,0.4545,,22
Jan-21,0,Plant,119,0.9754,122,122
Jan-21,1,Plant,3,0.0246,,122
Jul-20,0,Plant,110,0.9821,112,112
Jul-20,1,Plant,2,0.0179,,112
Jun-20,0,Plant,72,0.973,74,74
Jun-20,1,Plant,2,0.027,,74
Mar-20,0,Plant,98,0.9423,104,104
Mar-20,1,Plant,6,0.0577,,104
Mar-21,0,Plant,27,1,27,27
Mar-21,1,Plant,0,0,,27
May-20,0,Plant,95,0.9135,104,104
May-20,1,Plant,9,0.0865,,104
Nov-20,0,Plant,91,0.9785,93,93
Nov-20,1,Plant,2,0.0215,,93
Oct-20,0,Plant,120,0.9677,124,124
Oct-20,1,Plant,4,0.0323,,124
Sep-20,0,Plant,100,0.9524,105,105
Sep-20,1,Plant,5,0.0476,,105
