time2,Jaw,TST,count
Apr-20,0,Drug,99
Aug-20,0,Drug,112
Dec-20,0,Drug,125
Feb-20,0,Drug,101
Feb-21,0,Drug,116
Jan-20,0,Drug,21
Jan-21,0,Drug,157
Jul-20,0,Drug,117
Jul-20,1,Drug,1
Jun-20,0,Drug,91
Mar-20,0,Drug,146
Mar-21,0,Drug,27
May-20,0,Drug,93
Nov-20,0,Drug,115
Oct-20,0,Drug,110
Sep-20,0,Drug,150
Apr-20,0,Plant,134
Aug-20,0,Plant,92
Dec-20,0,Plant,154
Feb-20,0,Plant,95
Feb-20,1,Plant,1
Feb-21,0,Plant,107
Jan-20,0,Plant,22
Jan-21,0,Plant,122
Jul-20,0,Plant,112
Jun-20,0,Plant,74
Mar-20,0,Plant,104
Mar-21,0,Plant,27
May-20,0,Plant,104
Nov-20,0,Plant,93
Oct-20,0,Plant,124
Sep-20,0,Plant,105
