Location,TST,Tag,Age,Sex,Nasal,Jaw,FAMACHA,Condition,Dag,tx,Weight,Lactation,Visit,Date,FEC,TFEC,month,Plant,farm,time,temp,hum,tx2,FECp,Intervention
MAZINGA,Plant,6,4.5,F,1,0,2,2,0,Drug,28.6,NotLactating,18,24/09/2020,0,,September,mtawa,P2,238,,,drugpl,0,Pre
MAZINGA,Plant,7,5.5,F,0,0,2,2,4,Drug,40.8,Lactating,21,05/11/2020,,,November,mtawa,P2,280,,,drugpl,0,Pre
MAZINGA,Plant,18,2,F,0,0,2,1.5,0,Drug,23.1,Pregnant,22,19/11/2020,12700,,November,mtawa,P4,294,,,drugpl,12700,Pre
MAZINGA,Plant,19,4,F,0,0,2,2.5,4,Drug,34.2,NotLactating,10,04/06/2020,,.,June,mtawa,P4,126,,,drugpl,0,Pre
MAZINGA,Plant,20,5.5,F,1,0,5,1,5,Drug,28.6,NotLactating,1,30/01/2020,,.,January,mtawa,P4,0,,,drugpl,0,Pre
MAZINGA,Plant,26,1.5,F,0,0,4,1.5,0,Drug,27.2,Lactating,5,26/03/2020,2250,.,March,mtawa,P5,56,25.37033333,71.68988148,drugpl,2250,Pre
CHINKHOWE,Plant,51,4.5,F,1,0,4,1.5,0,Drug,32.6,Lactating,1,05/02/2020,2050,2050,February,gmelina,P15,0,24.28608333,76.60954167,drugpl,2050,Pre
CHINKHOWE,Plant,63,3,F,0,0,2,2,4,Drug,28.6,NotLactating,24,24/12/2020,,,December,gmelina,P17,323,,,drugpl,0,Pre
CHINKHOWE,Plant,72,4,F,0,0,4,2,0,Drug,32.6,Lactating,2,19/02/2020,16800,17000,February,gmelina,P18,14,23.53566667,83.30116667,drugpl,16800,Pre
CHINKHOWE,Plant,74,1,F,0,0,4,2,0,Drug,23.1,NotLactating,1,05/02/2020,650,650,February,gmelina,P18,0,24.28608333,76.60954167,drugpl,650,Pre
CHINKHOWE,Plant,75,4,F,0,0,4,2,0,Drug,34.2,Lactating,1,05/02/2020,5200,5200,February,gmelina,P18,0,24.28608333,76.60954167,drugpl,5200,Pre
CHINKHOWE,Plant,80,4,F,0,0,3,1,0,Drug,32.6,Lactating,3,04/03/2020,,.,March,kakhobo,P19,28,21.00747024,85.50233333,drugpl,0,Pre
CHINKHOWE,Plant,81,3,F,0,0,2,1.5,4,Drug,34.2,Lactating,20,29/10/2020,400,,October,kakhobo,P19,267,23.56871233,60.64869863,drugpl,400,Pre
CHINKHOWE,Plant,82,4,F,0,0,4,1.5,0,Drug,29.9,Lactating,1,05/02/2020,12800,12800,February,kakhobo,P19,0,24.28608333,76.60954167,drugpl,12800,Pre
CHINKHOWE,Plant,82,4,F,0,0,4,1.5,0,Drug,29.9,Lactating,3,04/03/2020,8450,8450,March,kakhobo,P19,28,21.00747024,85.50233333,drugpl,8450,Pre
CHINKHOWE,Plant,82,4,F,0,0,2,2,4,Drug,32.6,Lactating,21,12/11/2020,50,,November,kakhobo,P19,281,,,drugpl,50,Pre
CHINKHOWE,Plant,91,4,F,0,0,2,3,4,Drug,28.6,Lactating,3,04/03/2020,,.,March,kakhobo,P21,28,21.00747024,85.50233333,drugpl,0,Pre
CHINKHOWE,Plant,92,4.5,F,0,1,4,1.5,0,Drug,28.6,Lactating,1,05/02/2020,19600,19700,February,kakhobo,P21,0,24.28608333,76.60954167,drugpl,19600,Pre
CHINKHOWE,Plant,93,4.5,F,0,0,4,1,0,Drug,32.6,Lactating,2,19/02/2020,450,1050,February,kakhobo,P21,14,23.53566667,83.30116667,drugpl,450,Pre
CHINKHOWE,Plant,93,4.5,F,0,0,2,1,1,Drug,31.3,Lactating,7,30/04/2020,,.,April,kakhobo,P21,85,,,drugpl,0,Pre
KAMCHEZERA,Drug,106,1,F,1,0,2,2,0,Drug,24.5,NotLactating,28,12/02/2021,3350,,February,,D3,378,,,drugdr,3350,Pre
KAMCHEZERA,Drug,107,1,F,1,0,4,1.5,0,Drug,23.1,NotLactating,20,23/10/2020,550,,October,,D3,266,25.08342361,43.92047222,drugdr,550,Pre
KAMCHEZERA,Drug,108,3,F,0,0,4,1.5,0,Drug,24.5,NotLactating,1,31/01/2020,2700,2900,January,,D3,0,25.10085714,69.71221429,drugdr,2700,Pre
KAMCHEZERA,Drug,108,3,F,0,0,4,1.5,0,Drug,23.1,NotLactating,2,14/02/2020,400,450,February,,D3,14,21.08183333,93.22854167,drugdr,400,Pre
KAMCHEZERA,Drug,108,3,F,0,0,4,1.5,0,Drug,23.1,NotLactating,3,28/02/2020,,.,February,,D3,28,24.89010119,76.26380952,drugdr,0,Pre
KAMCHEZERA,Drug,108,3,F,0,0,4,1.5,0,Drug,23.1,NotLactating,5,27/03/2020,,.,March,,D3,56,25.06941667,76.33333333,drugdr,0,Pre
KAMCHEZERA,Drug,115,3,F,0,0,3,1,0,Drug,24.5,Lactating,5,27/03/2020,1200,1200,March,,D7,56,25.06941667,76.33333333,drugdr,1200,Pre
KAMCHEZERA,Drug,138,1,F,0,0,2,1,0,Drug,25.9,Lactating,4,27/03/2020,4900,2250,March,,D7,42,25.06941667,76.33333333,drugdr,4900,Pre
KAMCHEZERA,Drug,139,1.5,F,0,0,3,1,0,Drug,24.5,Lactating,3,13/03/2020,1950,1950,March,,D7,28,24.58154167,79.5863631,drugdr,1950,Pre
KAMCHEZERA,Drug,139,1.5,F,1,0,2,1,0,Drug,25.9,Lactating,4,27/03/2020,50,50,March,,D7,42,25.06941667,76.33333333,drugdr,50,Pre
MKWINDA,Drug,142,2,F,0,0,2,1,0,Drug,17.7,NotLactating,1,03/03/2020,0,0,March,,D17,0,23.5311369,72.02754762,drugdr,0,Pre
MAZINGA,Plant,200,2,F,0,0,4,2,0,Drug,19.1,NotLactating,1,02/07/2020,,.,July,mtawa,P10,0,,,drugpl,0,Pre
MAZINGA,Plant,206,3,F,0,0,3,1,0,Drug,23.1,Lactating,1,02/07/2020,100,.,July,mtawa,P11,0,,,drugpl,100,Pre
MAZINGA,Plant,212,3,F,0,0,2,2,4,Drug,31.3,Lactating,7,05/11/2020,,,November,mtawa,P12,84,,,drugpl,0,Pre
MAZINGA,Plant,218,3,F,1,0,2,2,0,Drug,21.8,Lactating,8,14/01/2021,0,,January,kakhobo,P13,98,,,drugpl,0,Pre
KAMCHEZERA,Drug,26075,3,F,0,0,4,2,0,Drug,27.2,Lactating,1,31/01/2020,500,500,January,,D5,0,25.10085714,69.71221429,drugdr,500,Pre
MKWINDA,Drug,26383,1,M,0,0,2,2,2,Drug,24.5,,13,22/07/2020,,,July,,D15,169,,,drugdr,0,Pre
KAMCHEZERA,Drug,26549,3,F,0,0,4,2.5,0,Drug,36.7,Lactating,1,31/01/2020,10100,10100,January,,D3,0,25.10085714,69.71221429,drugdr,10100,Pre
